lineNum,sentence1,sentence2,sentence3,sentence4,sentence5,sentence6,sentence7,sentence8,sentence9,sentence10
401,Officially European Union plays a decisive role in the mediatory efforts taken for stopping the war in Middle East.,According to the official stand of Brussels&#44; Schwarzenberg delegation or efforts of Sarkozy are helping hands in this process.,European Union spokesman Amadeu Altafaj said every single step which may help in delivering the conjoint message of European Union to fighting parties is appreciable.,Officially everything seems fine.,But in fact European Union is portraying a picture of internal tension&#44; stress and strain.,The role of Czech Republic as the President of the Union is already weak,plus internal affairs has made her helpless.,On the other hand the course of action of French President Sarkozy depicts that France is still the President of European Union.,Although 6 months Presidency tenure of France is over.,Sarkozy wants to play a leading role which he is capable of&#44; but he isn&#39;t the authority.
411,French Foreign Minister Bernard Kouchner is facing the funniest side.,He is in the delegation which is led by Schwarzenberg the Foreign Minister of Czech Republic.,In addition to that&#44; the two foreign ministers are giving different statements on the war in Middle East.,Schwarzenberg says that Israel has the right to defend herself&#44; while according to Kouchner war is not the defense. Germany has also sent a special ambassador to Middle East. As long as European Union does not show unanimous stand&#44; she can not be successful on diplomatic front.,The prove is the no lift conduct of Israel to mediatory efforts of European Union.,This is the best time for European Union to prove herself&#44; as America has failed in Middle East due to the policies of George W. Bush.,Financial crisis: German millionaire industrialist&#39;s suicide,Adolf Marclay&#44; resident of Swabia in south Germany has left behind a huge industrialist group.,But he was not known to German public a while back.,when he had to negotiate with 30 banks for weeks regarding his debts towards industrial groups&#44; he became the hot news and could see the dark future for Marckay group.
421,Marclay Group had to bear the loss of hundreds of million euros after it bought the shares of one of known industry Folks Wigan.,then the financial institutes rejected to provide the much needed 100 Million and 1 billion euros to this group and this exerted severe pressure on Marclay.,Recently the same banks accepted to provide loan to Marclay group on urgent basis but Adolf Marclay who started as a small industrialist to reach a place where his industrial group&#39;s annual income reached 30 billion euros&#44; couldn&#39;t bear the the loss in his financial strength.,After the death of his father when Adolf Marclay took the responsibility of the business he used modern methods and made the business more successful.,He named his company Ratiopharm which is now Germany&#39;s most successful and biggest pharmaceutical company.,Till recent times this phamasutical company had a budget of around 5 to 6 billion euros and even now it is earning around 8 billion euros annually. After the great success of Rasue farm the Marclay Group bought many big industries like Hi-Del Barag Cement a manufacture of construction equipment. Kassbohrer and other good car maker,Marclay Group has a employee number of around 100 thousand around the world and among its industries&#44; Rasue Farm has always been given special importance.,Adolf Marclay has said this many times in his life. &quot;&quot;We have been in pharma business since four generations&quot;&quot;.,Now the industry is handled by the children and i hope that it continues to work for few hundred years by our family.,After the suicide of Adolf Marclay&#44;the banks have given approval of temporary loan of 400 million euro for his group VEM but on this condition that VEM have to be sold to Rasio Farm so that the financial position of this group is improved on long term basis.
431,After the death of Adolf Marclay the Marclay Group will not remain the same as it was before.,Crime rate of foreigners living in Germany,According to recent statistics the crime rate of foreigners between 2004 to 2007 .22,9 percent has reduced to .21,4 percent.,According to Joachim Herrmann the Interior Minister of Bavaria it is only an apparent positive change.,He said: It must be considered that foreigners having the German citizenship are increasing.,So it must be added in the statistics that though the criminal is a German citizen but his background is foreigner.,Herrmann said that from 2010 his state will keep this fact in mind while collecting the data of criminals.,Other than Bavaria&#44; Hemberg is also working on same pattern.
441,Senator Christoph Ahlhaus of Interior ministry from CDU said:&quot;&quot; When the scientific research is conducted one can not draw results of his own rather they depend on the data which is calculated after research.,Ahlhaus presented an analysis report of provincial office of crime management prepared in 2006&#44; according to which in the Bergdorf area of Hemberg the percentage of foreigners in the crimes committed there was calculated.,Results indicate that here foreigners,crime rate is less then the crimes committed in the whole province.,On the contrary during 2006 when youth crime rate in Berlin was observed revealed that the youth having the foreign background was .44,7 percent.,Other political parties of Germany like SPD&#44; clean atmospherics party Greens&#44; and leftist party Linkspartei are against the of gathering information whether the background of a German citizen is foreign while collecting the data about crimes.,Military should be soon removed from Gaza : Almert,Jew Almert has strongly showed a necessity for continuous war.,Himas and Israelis have declared war on Sunday.
451,Islamic followers Himas Organizations declaring one week war said that within one week Israelis will be removed from gaza patti and it will end the restrictions at gaza Patti.,On the other hand Himas mentor Ismail Husaini has said the victory of isralis at Gaza is from god.,it has been said by him that in this Israel was not not successful in their objectives,Before this in the city of Egypt Sharmul seik on Sunday european and arab personnel one group was formed in which israel was asked about Gaza,in this meeting it was announced that sooner there will be a conference held.,in this German chancellor Angera Merikal also participated,due to the result of war between Himas and Israel 1300 Palestinians nd 10 soldiers totally 13 Israelis were dead,on other hand chief mahmood abbas has strongly told about religious rule in Palestine,The Al-Qaeda Germany video message,In the term time of 30 minutes in the video&#44; a person of the black color who was wearing a turban and having a hands a message to the German Government.
461,The person who talks is Abu Talha and he talks in the German language.,This video message is in Arabic also.,The United States has also been mentioned in the screen of the video of October 2008.,The message to the German government said that there are a large number of forces in Afghanistan and that they are believed not to attack.,The person who speaks in German did not threaten attacks.,The coalition forces in Afghanistan in the NATO includes a number of German soldiers - almost three and a half thousand.,In October last year&#44; the German parliament has given approval to send one thousand soldiers to Afghanistan.,This is the first message for the combined United States and Germany.,The Leader for Affairs Mikhail Fradkov has expressed his scare on terrorism in his message saying: &#39;The German Embassy in Kabul&#44; may have a threat for suicide attack&#39;.,The United States has recieved many such messages during the last few years on the Internet.
471,On Saturday&#44; there was a suicide attack outside the German embassy in Kabul and the Taliban military organization owned the responsibility for it.,Most of the German newspapers and observers expressed the message about the chances of attack over the United States.,Germany could be a target.,Fundamentalist Muslims have a negative look over the the Afghan policy of Germany.,The German government does not have a biased policy over Pakistan alone but also over the Middle East countries too.,This is the reason for Germany being in the target.,Meanwhile&#44; the German government has said that the public video has already been sent to the knowledge of German intelligence agencies.,The German Federal Anti-crime organization is checking this video.,The president of America Obama&#44; to take charge,On the background&#44; The Americans are rather a different people in the world
481,Obama&#44; becoming the president of United States of America&#44; received messages of congratulations. And is now in the range of expectation.,The German Chancellor&#44; Angela Merkel &#44; expressed his confidence on the new American president.,I belive that the Federal Republic of Germany and Persian relationship with the United Stated would solve many problems.,Russian Prime minister Mir Putin said that this serious and opn heart is a good thing,The policies of the former American president&#44; George W. Bush faced criticism.,The Administration of the international level China praised the constructive role on the movement since&#44; the American President said that the two countries have to strengthen the millitary relations to work together.,Yak says that the German expert is active in city politics,With this&#44; I believe that the coming weeks and months will have strong pressure from economic team to entail Beijing government of China to have better rate of exchange,The relationship of India and Former US administration will be better,American studies professor in New Delhi&#44; Raj said that we are in a strategic patnership as long as one nigh does not bring a change
491,Pope Benedict also gave a message in the name of peace to the world in the atmosphere of cooperation and stressed on developing.,Translation of the first sentence goes here.,Translation of the second sentence goes here.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.
501,Youm e Ashura; Youm e Ashura was observed with reverence and fervor in the whole of Iran commemorating the great sacrifice of Syed-us-Shohadaa Hazrat Imam Hussain (AS).,Mehr News Agency reported that in all major and minor cities including Tehran&#44; the capital city of Iran&#44; the mourning of Syed-us-Shohadaa Hazrat Imam Hussain (AS) was observed with veneration and devotion. A large number of believers attended these mourning gatherings and processions&#44; paying their condolences to The Prophet (S) on the martyrdom of his family members. Today the whole of Iran is grieved and sorrowful on the great sacrifice of the Prophet’s Grandson Hazrat Imam Hussain (AS) in the field of Karbala. The believers recollected the great sacrifice of Syed-us-Shohadaa Hazrat Imam Hussain (AS) in the field of Karbala and took part in gatherings and processions on a large scale.,Gaza&#44; Israeli soldiers area of the Mujahideen repulse // Palestinian example of fidelity,The Mehr news agency&#44; according to the Urdu service in Gaza وباطل right of the battle of the Chinese nature day by Israel پروحشیانہ City population bombing&#44; the Gaza Strip by Israeli air&#44; ground and naval attacks in the 3700 880 people were killed and Palestinians have been injured.,In at 275 innocent martyrs also included the Arab leaders and the doors of the international human rights organizations so-called on the death&#44; in the fold.,Gaza today&#44; the shrouds massacre of Israeli troops pulled the forced the martyrdom&#44; faith and the power of 44 Grand stand and are demonstrate the enemy and Israeli assonance Hayat are so,If the Egyptian President Hosny unlucky not to the doors of HAMAS&#44; upright and Bahadur Mujahid Israel when the defeat of the four&#44; but the with Israeli siege of Egypt&#44; Muslim sectarian siege of the Palestinians&#44; which is the most Arab history sad incident.,Meanwhile&#44; Saudi Arabia and Jordan to Israel also governments political&#44; economic assistance to help the Gaza Strip&#44; and with the unarmed Muslims treachery with the Israelis and are,New Strategy will be used with the Iran&#44; said the United States of America.,With Obama being elected as the new President of United states of America&#44; The Mehrnews agency report that the Modern and new strategy for the issue of Iran will be made easy
511,Iran will be a very Big challenge to American Government&#44; Said Obama.,Obama Said that the Iran&#39;s nuclear program is supported by the Islamic organisations like Hamas and Hezbollah,But&#44; Iran will not adopt the various policy of US president Bush and also&#44; the relationship with India.,Obama when talking about mutual respect said that the real purpose will be completed and also&#44; he stressed on the desire.,Obama said that the talks about the Iran in the past should not be spoken,He said in one of the interview that the new strategy should be followed by the Iran administration.,He gives a special team for the middle east crisis,The efforts will be taken towards peace woll be started after january 20.,During one of the press meet&#44; Bush acknowledged the mistake of appointing incompetants.,The News agency Mehr&#44; ssociated the admittance of the US president George Bush&#39;s mistake to a crime
521,The US president George bush said in the White house conference that it would be a goodwill to elect a new president and stopping it would be a biggest attack on the United states.,He also said that&#44; it was a mistake to complete the mission in Iraq and the social security reforms,Bush&#44; the US president said that he has done 100 for the protection of the United states.,President Bush said that the Israeli&#39;s have right to defent themself and they asked many questions in the Gaza. He also said that the Hamas have no rights to defend and they should not be supported by the world. Only the oppressed should be strangled.,The US president said that the HAMAS should not unnecessarily provide the israel with the deadly weapons and harm the Palestinians by the US weapons. Also&#44; Bush also praised Nawaz Arabs who is a friend of Israel.,Bush jailed Abu and is in guilt of crime.,Viewers say that the crimes of war agaisnt Bush should be set up in organisations and should favor the work of developing humanity.,President of Iran Ahmadinejad has expressed sorrows on the silence of Arab Leaders,According to the report of Mehr news agency has said that Iranian President Dr. Mehmood Ahmadinejad has strongly condemned and expressed sorrows on the silence of Arab Leaders on the aggression and cruelties of Israel in Gaza.,While expressing his amusement about Arab countries and silence of their leaders on the inhuman brutalities of Israel in Gaza President Ahmadinejad has said that Israel is Holocausting the Palestinian people&#44; targeting the Palestinian children&#44; women and civilian people and Arab Leaders didn&#39;t even bother to issue a statement.
531,President Ahmadinejad has said that all the Arab countries must unite against Israel and save the poor people of Gaza from the brutality of Israel.,Ahmadinejad&#44; King of Saudi Arabia must declare his statement about human assassination in Gaza by Israel.,According to the report of Mother news agency President Mehmood Ahmadinejad said to Malik Abdullah in his message that silence of Muslim King of Saudi Arabia on the human assassination in Gaza and on the killing of innocent women and children is encouraging enemies of Islam.,President Ahmadinejad said in his message by delivering your true statement about Gaza and by clearly show the support of oppressors so that the attempts of creating differences among Muslims may fail.,President Ahmadinejad said in his message that you know that Israel is killing humans in Gaza since 19 days&#44; killing innocent children&#44; bombarding ruthlessly on the schools&#44; Masjids&#44; houses and hospitals. Jewish government is killing civilian Muslims in Gaza. in a situation like this silence of leaders like you is encouraging Israel.,President Ahmadinejad asked Malik Abdullah that non Muslim countries like Venezuela and Bolivia have taken solid steps against Israel and you are expected to do better than them.,President Ahmadinejad has said that Palestinians will succeed in Gaza.,and oppressed will defeat the cruel and it is the promise of Allah.,President George W. Bush terrorism for the United States is still threat.,The Mehr news agency&#44; the German news agency Mehr&#44; the US president George Bush&#44; in his valedictory speech and his successor&#44; addressed the nation and said that if the height of seven years ago today the United States safe&#44; but the threat of terrorism and the US round today.
541,Bush has said that the United States was designed to terrorist attack enemy sitting patience to set up Vine and to attack the United States of unflinching plans to the United States and its security should keep the inadvertent not.,The American president in the Gaza Strip&#44; millions of Palestinians reduce the grief his aggressive and wrong US policies and defense of the president said today that the United States is the biggest freedom of the country&#44; but observers supporters of the American president&#44; these statements did not accept the reality because of freedom&#44; the United States&#44; nor pioneer human rights of the United States&#44; but supporters in the world body to the Israeli government like the savage is not only crime&#44; but in the direct.,Israel children&#44; women and of the common citizens is the president and the United States to hurrah is saying the US humanity and freedom in the world and other places of the world.,Osama hamdan resistance will teach in Palestine and will continue,The Mehr news agency&#44; the report of HAMAS&#44; according to representatives of Lebanon Osama hamdan French to discuss with the news agency&#44; said that the Israel unilaterally by the cease-fire comprehensive cease-fire International against the efforts he said the present in the Gaza اisrael will continue until the cease-fire&#44; one meaningless.,He said that the cease-fire&#44; one to avoid defeat Israel is trying hamdan said that if Israel wants peace stable that it with the BESIEGE Hamas to end the addition to accept the conditions,Hamas leader in Lebanon have made it clear that the Gaza Strip&#44; in the rest of the Israeli army if the cease-fire Israel against the resistance will continue.,In the Gaza Strip Beirut with the unity while addressing the Conference&#44; the European countries Osama hamdan relations with Israel to cut deliver worse.,Hamas leader said that the martyrs of the injured and increasing the number of our courage and determination and will be raised.,The Palestinian people he has said that the war against the enemy in a rock resistance.
551,Pakistan&#44; six men have been killed by Taliban in tribal area of Pakistan North Waziristan.,Translation of the second sentence goes here.,According to information on Tuesday morning local people discovered 4 dead bodies killed by bullets in Tehsil Chowk of Tehsil Mir Ali.,Whereas two dead bodies were found in capital Miran Shah thrown in a market.,Urdu written letters were also found nearby dead bodies in which the victims were blamed espionage.,2 weeks earlier in Miran Shah capital of North Waziristan 2 Afghan men were killed on the charge of espionage.,15 men have been killed on the charge of spying for America during last 12 days.,Note that during last 6 years more than 100 men have been killed on the charge of espionage in Southern and Northern Waziristan&#44; Taliban are blamed for such murders.,Barack Obama is expected to sign the order of closing of notorious Guantanamo be Prison.,According to the resources of Mother news agency that today American President will sign the order of closing of notorious Guantanamo be Prison.
561,New American President Barack Hussein Obama has started to fulfill his promises of election campaign.,In this regard President Obama has instructed to plan for withdrawal of American Army from Iraq&#44; whereas today American President will sign the order of closing of notorious Guantanamo be Prison.,It is expected that President Barack Obama is about to sign an order by which Guantanamo be Prison will be closed within a year.,Moreover Wight House is expected to release orders about the revision of investigation procedure for dubious terrorists and ban on using rubbish language with prisoners.,President Barack Obama has started to work from the first day of his presidency on his promises of election band first of all took measures to transparent the deeds and sayings of his government.,Observers say that American President has started the struggle to strengthen the reducing cadre of America on International level but his success rate is very low as till the time America supports the brutal government of Israel nothing good is expected from America. If America wishes to raise his cadre in the world then she must back off from Israel support and must not participate in her crimes.,Tony Blair Islamic organisation Hamas stressed the need to be included in the talks,Mehr News Agency quoting the British newspaper the times that the كےسابق Britain Prime Minister Tony Blair in the Middle East peace process to include Hamas has stressed the need .,Newspaper said that it is important &#44; according to Tony Blair has a way should be found that &#44; through which Hamas should be brought to the Middle East peace process in بلئر on the Bush انظامیہ only talking to Mahmoud Abbas and Hamas to ignore &#44; also severely criticized the western countries are clear that Hamas &#44; the public understand the power Nizami and now it are to be included in talks before it while he was to be E. interpretation to terrorist organization Hamas a terrorist organization which is trying to defend their country from his home of the others is struggle to hold free and the house of which country like Israel occupied the government has kept freezing control 60 years .,Assassination of Baloch traders in Karachi&#44; complete strike in Quetta.
571,Complete strike was observed in Quetta and some other areas against murder of four Baluchi traders in Karachi.,During this all the trade centers remained close traffic was also less then normal.,The protest was called by Baluchistan trades organization&#44; Pakhtunkhah Milli Awami Party AND JUI who blamed that Karachi Police has allegedly killed them by firing when they reached their car showroom at Tariq Road.,Abdul Rahim Kakar President of Traders Organization has demanded that police officials involved in the incident should be arrested and punished.,However no instant statement of police has arrived.,The killed traders belonged to the city of Chaman.,Government arranged security vastly during strike and police was deployed at all the important places of the city.,Senior Hamas Commander died in Israeli attack,In an air strike of Israel a senior commander of Hamas has died.,It is the death of 2nd Hamas leader in Israel continual attack for a week in Gaza Strip.
581,Hamas officials said that Abu Zakaria Aljamal died in Alshujai palace situated in the East of Gaza city on Saturday.,In another Israeli air strike scholar of Hamas Nazaar Rayyan was died on Thursday.,Exile leader of Hamas Khalid Mashal residing in Syria resolved to take revenge and warned Israel for ground attack on Gaza.,Thousand of soldiers and tanks are deployed on Gaza border&#44; they are waiting for orders of launching attack.,America has appealed for ceasefire. but said that the decision of launching the attack on Gaza depends on Israel.,American President George Bush in his weekly speech on radio blamed Hamas of provoking for inflaming violence and declared its rocket attacks in Israel terrorism.,He said that America is struggling for ceasefire&#44; but one sided agreement will not be acceptable.,Three bodies were recovered in North Waziristan .,Pakistani security officials said that in the North Waziristan tribal region&#44; three men were dead and bodies were found.,Suspected Taliban&#44; they killed to death.
591,The bodies central city of North Waziristan near Miran Shah and the are such letters in the United States for the men to spying has been accused of.,Officials said that a dead body in the local authorities probably the man who was kidnapped last week.,He said the rest of the colander to move bullets Afghan residents of two bodies.,Translation of the first sentence goes here.,Translation of the second sentence goes here.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.
601,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,U.S. Vice President Joseph elected reached Pakistan,The foreign minister of the elected U.S. Vice President welcomed,The United States elected vice president Joseph بائیڈن on a visit to Pakistan. On Friday in the delegation arrived in Islamabad.,External Affairs Minister&#44; Shah Mahmood Qureshi and the American embassy officials. Welcomed him.,The American سینیٹرLindsy Grahamبھی with the visit&#44; بائیڈن,The American embassy press officer Lug فنٹرنے told Voice of America that the newly elected President&#44; during his visit to the Pakistani leadership on various regional issues will hold talks&#44; however&#44; he has not disclosing further details.,Foreign Office&#44; according to sources&#44; the chief Joseph بائیڈن government officials&#44; the head of the army&#44; General Ashfaq Pervez also meet kini.,It is expected that these meetings&#44; important bilateral and international affairs&#44; in addition to the war against terror&#44; the issues discussed.
611,Hilal-e-Pakistan to Joseph بائیڈن recipient,After reaching Islamabad Joseph بائیڈن Asif Ali Zardari&#44; the president of meeting.,In addition to the between Pakistan and the United States to close relations with the Hilal-e-Pakistan on the role of the blessed him with a honor.,It should be noted that Joseph بائیڈن last year&#44; the US Senate Foreign Relations Committee as the Chairman of the رچرڈلوگر Senator with a bill was introduced in the Pakistan for the next five years during the US military aid to the three times more 7. 5 billion dollars to the recommended.,Former President Pervez Musharraf&#39;s uniform has played an important role in Prime Minister Geelani&#39;s life.,Yousuf Raza Gilani and the Musharraf(file photo),The Prime Minister Yousuf Raza Gilani said that the United States elected the vice president so that the former President Pervez Musharraf may leave the army uniform and the post of the important role in the democracy.,Yusuf Raza Gilani at the Karachi ship yard statement talking to the journalists.,He said that the Chairman of US Senate Foreign Affairs Committee of Pakistan remained a supporter of the Leader and has given 15 billion dollars aids to the bill.,The American spy planes flew in Pakistani territory and this was condemned by the prime minister of Pakistan. He said such attacks were against the agendas of the American government and the agreement.
621,He has also expressed that the new Government in the United States has changed the policy after coming into power.,(file photo),Yousuf Raza Gilani has said that the Government was successful in treating the terrorists as separate from the tribal but the aircraft missiles during the attack by the government efforts were harmful and proved terrorist also get with the tribes.,He said that the international community will stand.,The prime minister further said that if no reliable evidences are given by themselves then Pakistan forces will take action in the areas.,The Prime Minister Yousuf Raza Gilani has said that if there are evidences and proof of their involvement in the attacks at Mumbai in India it will be investigated and legal action would be taken according.,The tour by Rahman and the MQM leader Altaf Hussain to Britain was in response to the meeting of the Rahman with the Prime Minister.,Quetta&#44; DSP&#44; including four police personnel were killed,The file photo,The Quetta saryab road&#44; highway in firing by unknown persons DSP &#39;a deputy Superintendent including the police force police personnel.
631,On Wednesday morning in a jeep two DSP&#44; a Sub-inspector and two constable of police training center was going on saryab road&#44; near degree College on a motorcycle rider unknown attackers jeep police opened fire&#44; sub-Inspector Mehdi and constable&#44; were killed on the spot while one DSP Hasan Ali died after reaching the hospital died of severe injuries.,Hospital sources say that the severe injuries DSP Ghulam Mahmud critical condition and they also head bullets in his neck and began.,After the incident&#44; police surrounded area so far in the responsibility of the incident will not accept any.,Translation of the first sentence goes here.,Translation of the second sentence goes here.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH. In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.
641,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,America must remain vigilant against enemy attacks: Bush,President George Bush insisted America to be vigilant against enemy attacks in his last weekly speech from radio.,Mr.Bush said the biggest threat for America is the possibility of any other terrorist attack. He warned that enemies of the state are waiting patiently and they are targeted to attack again.,Discharging President said that America must never be negligent of her defense.,President Bush conveyed best wishes for upcoming President Barack Obama&#44; who will sworn in on Tuesday.,Newly elected President Barack Obama threw light from the platform of Democratic party on the historical importance of Oath ceremony in his speech on weekly radio.,He said that the ceremony is such a tradition in which the peaceful transfer of powers is deeply tied to American greatness.,Mr. Obama reminded that many people even can&#39;t imagine that their leaders will quit the authority without struggle or bloodshed.
651,Meeting in Raiwind between Sharif Brothers and Federal Minister for Interior; Political and security issues were discussed.,The largest opposition party in the center and the ruling party in Punjab&#44; the Pakistan Muslim League’s leader Nawaz Sharif and Federal Minister for Interior Rehman Malik met in Raiwind on Sunday; the meeting was also attended by the Chief Minister of Punjab Shahbaz Sharif.,According to local media&#44; Rehman Malik brought a message from the leadership of Pakistan Peoples Party.,But talking to journalists after the meeting&#44; Rehman Malik did not mention any details about this matter and only stated that he came to talk about building consensus on political issues and to brief the PML(N)’s leadership on the aftermath of the Mumbai attacks.,He said&#44; “I informed them about the steps which have been taken so far”.,“Don’t forget that the major crackdown was done in Punjab by the Punjab Government and the team which I have formed now will also require help from the Punjab Government”.,Rehman Malik said that the media is not briefed every day but messages are exchanged with PML(N)’s leadership on daily basis. On the other hand&#44; Pakistan Muslim League spokesman&#44; Pervaiz Rasheed&#44; also refrained from talking about any of the political issues and only stated that Rehman Malik had told everything which was important.,It should be noted that the Interior Minister met with the Pakistan Muslim League’s leadership at such a time when 20 Nazims belonging to PML(Q)&#44; the opposition party in Punjab&#44; held a press conference with Governor Salman Taseer. PML(N)&#44; while dismissing the objections of the Nazims against steps taken by the provincial government objected to the involvement of the Punjab Governor&#44; member of Pakistan Peoples Party&#44; in this matter.,Speech of Obama is pleasing for Pakistan: President Zardari.,While welcoming the inaugural address of American President Barak Obama&#44; the President of Pakistan Asif Ali Zardari has said that the mutual interest and to encrouage relationship among muslim world shown by him is pleasing for Pakistan and its people.
661,In a statement on Wednesday he said that the revision of high values and respect by President of America is good for all the people in the world for a better future.,As per the statement the President Zardari has said that the responsibility lies on America to search new ways for peace&#44; development and prosperity with the help of universal brothers in the twenty first century.,It is obvious that on Tuesday President Obama&#44; after taking oath as President of America&#44; in his inaugural address has said that America is interested in developing new ties and relationship with muslim world.,He had assured the people of poor countries that America should work with them for social development and to reduce poverty.,President Obama has appointed a special representative for Afghanistan and Pakistan.,Richard Holbrook&#44; ex ambassador for UN Richard Holbrook has been appointed as special representative for Pakistan and Afghanistan.,Holbrook had played an important role in the signing of peace agreement of Bosnia Herzegovina.,Holbrook said that he is ready for the consultancy of President Obama for Afghanistan and Pakistan.,He added that it is not an easy job.,He said that the history of both the countries is different.
671,George Mitchell has been selected for Middle East who will try to improve the peace talks between Arabs and Israel.,Mitchell is ex senator and he played a key role for the establishment of peace in Northern Ireland.,While speaking in State Department Mitchell said that the situation of Middle East is very dangerous&#44; complex and unpredictable.,But even though America will not step back from the attempts of establishment of peace.,Translation of the first sentence goes here.,Translation of the second sentence goes here.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.
681,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,There was two missile attacks in Waziristan. Atleast 18 people would be killed,Pakistan intelligence officials said that that is is suspected that the American Missile attacked North Waziristan in which 18 people were killed.,According to the officials&#44; the missile from American planes were fired in Waziristan near house in Mir Ali and 10 people were killed.,According to local officials&#44; five foreigners were killed.,The Taliban and Al-Qaida fighter&#39;s area is considered a stronghold.,Some incidents of missile attack in Waziristan&#44; killed atleast eight people.,Despite the objection by Pakistan government&#44; there was a missile attach in the middle of the year that killed 30 people.
691,After the President Obama coming into power&#44; there was a recent attach in United States.,The Bush administration was to accept the disbelief and claime responsibility for the attacks.,Three missiles from the US planes attacked the Tribal area of North Waziristan on Friday and killed five people.,Of those who were killed could not be identified.,According to the initial reports&#44; the missile attacked a house in Mir Ali.,Zardari&#44; the pakistan President said that the first missile attack was in tribal area.,Translation of the first sentence goes here.,Translation of the second sentence goes here.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.
